signal_index,symbol,signal_date,market_cap,sector,status,signal_candle_high,entry_price,entry_date,exit_price,exit_date,exit_reason,months_held,total_return_percent,cagr_percent,cmgr_percent,max_high,max_high_date,drawdown_percent,stop_loss_price,target1_price,target2_price
15,NTPC,01-08-2012,Largecap,Power & Utilities,Completed,90.93,90.93,2012-09-01,86.27,2012-10-01,Stop Loss,1,-5.12,-46.81,-5.12,91.3,2012-09-01,8.08,86.27,84.73,84.73
16,KCPSUGIND,01-08-2012,Smallcap,FMCG,Completed,16.47,16.47,2012-10-01,16.13,2013-02-01,Stop Loss,4,-2.04,-5.99,-0.51,21.83,2012-11-01,7.13,16.13,,16.13
17,LIQUIDBEES,01-08-2012,Smallcap,Indices,Completed,0.0,,2013-06-01,719.98,2015-07-01,End of Data,25,0.0,0.0,0.0,719.99,2015-07-01,-inf,,,
18,AEGISLOG,03-09-2012,Largecap,Services,No Data,,,,,,No Data,0,0.0,0.0,0.0,,,0.0,,,
19,DHAMPURSUG,03-09-2012,Smallcap,FMCG,No Entry,60.15,,,,,No Entry,0,0.0,0.0,0.0,,,0.0,,,
20,RELIANCE,03-09-2012,Largecap,Energy,Completed,184.58,184.58,2013-01-01,170.4,2013-02-01,Stop Loss,1,-7.68,-61.69,-7.68,199.95,2013-01-01,8.6,170.4,,170.4
21,TIRUMALCHM,03-09-2012,Smallcap,Chemicals,Completed,9.98,9.98,2012-10-01,8.93,2012-11-01,Stop Loss,1,-10.51,-73.62,-10.51,11.33,2012-10-01,17.22,8.93,,7.79
22,WSTCSTPAPR,03-09-2012,Smallcap,Building Materials,Completed,63.34,63.34,2012-10-01,72.79,2013-01-01,Target 1 - Red Doji,3,14.91,74.36,4.74,111.28,2012-12-01,14.85,56.59,72.79,56.59
23,VOLTAS,03-09-2012,Largecap,Consumer Discretionary,Completed,123.76,123.76,2014-02-01,257.21,2015-08-01,End of Data,18,107.83,62.86,4.15,336.75,2015-06-01,22.02,,,
24,GMBREW,03-09-2012,Smallcap,FMCG,Completed,30.03,30.03,2012-10-01,28.99,2012-12-01,Stop Loss,2,-3.47,-19.09,-1.75,35.56,2012-11-01,14.52,28.99,,25.11
25,VARDMNPOLY,03-09-2012,Smallcap,Textiles,Completed,8.3,8.3,2012-10-01,6.96,2012-11-01,Stop Loss,1,-16.09,-87.82,-16.09,10.3,2012-10-01,26.28,6.96,,6.96
26,ASAHIINDIA,03-09-2012,Largecap,Building Materials,Completed,75.2,75.2,2014-06-01,127.16,2015-04-01,Target 1 - Red Doji,10,69.11,87.85,5.39,154.26,2015-03-01,16.66,,127.16,
27,ONWARDTEC,03-09-2012,Smallcap,I.T,Completed,41.63,41.63,2012-10-01,39.73,2012-11-01,Stop Loss,1,-4.58,-43.05,-4.58,44.24,2012-10-01,13.44,39.73,39.73,34.31
28,HIKAL,03-09-2012,Smallcap,Healthcare,Completed,54.61,54.61,2012-10-01,48.58,2013-02-01,Stop Loss,4,-11.04,-29.61,-2.88,63.5,2012-12-01,16.19,48.58,,48.58
29,AUROPHARMA,03-09-2012,Largecap,Healthcare,Completed,67.25,67.25,2012-10-01,74.68,2013-02-01,Target 1 - Red Doji,4,11.04,36.92,2.65,95.1,2013-01-01,6.07,,74.68,68.11
30,SUVEN,03-09-2012,Smallcap,Healthcare,Completed,0.19,0.19,2012-10-01,0.22,2013-02-01,Target 2 - Below 21 EMA,4,14.85,51.5,3.52,0.35,2012-12-01,-12.8,,,0.22
31,TVSMOTOR,03-09-2012,Largecap,Auto,Completed,40.59,40.59,2013-01-01,34.19,2013-02-01,Stop Loss,1,-15.77,-87.25,-15.77,44.63,2013-01-01,23.11,34.19,34.19,34.19
32,BIOCON,03-09-2012,Largecap,Healthcare,Completed,44.27,44.27,2012-10-01,43.31,2013-01-01,Stop Loss,3,-2.17,-8.4,-0.73,49.85,2012-11-01,10.23,43.31,42.35,41.87
33,KOTHARIPET,03-09-2012,Smallcap,Energy,Completed,5.98,5.98,2012-11-01,5.51,2012-12-01,Stop Loss,1,-7.83,-62.41,-7.83,6.18,2012-11-01,14.53,5.51,,4.95
34,ABREL,01-10-2012,Midcap,Realty,Completed,371.66,371.66,2012-11-01,355.74,2013-01-01,Stop Loss,2,-4.28,-23.1,-2.17,412.16,2013-01-01,8.17,355.74,,296.03
35,JINDALPOLY,01-10-2012,Smallcap,Textiles,Completed,201.85,201.85,2014-06-01,180.04,2015-02-01,Stop Loss,8,-10.81,-15.76,-1.42,324.37,2014-09-01,16.38,180.04,,180.04
36,SURYAROSNI,01-10-2012,Midcap,Industrials,Completed,16.51,16.51,2012-12-01,15.97,2013-01-01,Stop Loss,1,-3.27,-32.92,-3.27,17.94,2012-12-01,8.69,15.97,16.3,14.83
37,WSTCSTPAPR,01-10-2012,Smallcap,Building Materials,Completed,101.33,101.33,2012-11-01,89.07,2012-12-01,Stop Loss,1,-12.1,-78.73,-12.1,111.28,2012-12-01,28.0,89.07,72.79,72.79
38,FINPIPE,01-10-2012,Midcap,Plastic products,Completed,11.07,11.07,2013-01-01,17.98,2013-09-01,Target 1 - Red Doji,8,62.39,106.94,6.25,22.03,2013-06-01,16.19,,17.98,
39,RUBYMILLS,01-10-2012,Smallcap,Textiles,Completed,97.17,97.17,2015-07-01,85.79,2015-09-01,Stop Loss,2,-11.72,-52.66,-6.04,115.73,2015-08-01,34.43,85.79,,
40,SHIVATEX,01-10-2012,Smallcap,Textiles,Completed,28.26,28.26,2012-11-01,25.5,2012-12-01,Stop Loss,1,-9.79,-70.94,-9.79,30.68,2012-11-01,16.51,25.5,24.42,24.42
41,BIL,01-10-2012,Smallcap,Consumer Discretionary,Completed,104.31,104.31,2012-11-01,144.41,2013-07-01,Target 2 - Below 21 EMA,8,38.44,62.88,4.15,239.3,2013-05-01,8.99,,,144.41
42,JUBLPHARMA,01-10-2012,Midcap,Healthcare,Completed,153.59,153.59,2012-12-01,136.55,2013-01-01,Stop Loss,1,-11.1,-75.62,-11.1,157.2,2012-12-01,16.76,136.55,,107.02
43,ARCHIES,01-10-2012,Smallcap,Consumer Discretionary,Completed,30.45,30.45,2014-09-01,29.44,2014-10-01,Stop Loss,1,-3.33,-33.39,-3.33,34.77,2014-09-01,39.18,29.44,,18.77
44,APARINDS,01-10-2012,Largecap,Industrials,Completed,145.88,145.88,2014-05-01,321.9,2015-01-01,Target 1 - Red Doji,8,120.67,227.8,10.4,404.88,2014-11-01,19.79,,321.9,
45,JINDALSTEL,01-10-2012,Largecap,Metals & Mining,Completed,429.88,429.88,2012-12-01,409.51,2013-01-01,Stop Loss,1,-4.74,-44.15,-4.74,462.92,2013-01-01,9.42,409.51,,340.03
46,TIPSMUSIC,01-10-2012,Midcap,Media,Completed,5.44,5.44,2012-11-01,4.87,2013-02-01,Stop Loss,3,-10.44,-35.66,-3.61,6.98,2013-01-01,12.57,4.87,,4.87
47,UNIONBANK,01-10-2012,Largecap,Bank,Completed,162.9,162.9,2012-11-01,162.17,2013-02-01,Target 2 - Below 21 EMA,3,-0.45,-1.77,-0.15,220.11,2013-01-01,8.21,,,162.17
48,NOIDATOLL,01-10-2012,Smallcap,Realty,Completed,20.96,20.96,2014-04-01,27.48,2015-03-01,Target 1 - Red Doji,11,31.09,34.36,2.49,30.77,2014-11-01,11.53,,27.48,21.1
49,RADICO,01-10-2012,Largecap,FMCG,Completed,116.67,116.67,2012-11-01,122.12,2013-03-01,Target 2 - Below 21 EMA,4,4.67,14.69,1.15,146.19,2012-12-01,6.12,,,122.12
50,KTKBANK,01-10-2012,Midcap,Bank,Completed,70.58,70.58,2012-11-01,71.14,2013-02-01,Target 2 - Below 21 EMA,3,0.79,3.21,0.26,100.86,2012-12-01,4.32,,,71.14
51,FINCABLES,01-11-2012,Midcap,Industrials,Completed,47.66,47.66,2012-12-01,41.36,2013-02-01,Stop Loss,2,-13.22,-57.3,-6.85,56.19,2012-12-01,15.34,41.36,41.36,41.36
52,SUNDRMFAST,01-11-2012,Largecap,Auto,Completed,46.52,46.52,2012-12-01,42.06,2013-01-01,Stop Loss,1,-9.58,-70.14,-9.58,50.43,2013-01-01,11.43,42.06,,38.59
53,PREMIER,01-11-2012,Smallcap,Industrials,Completed,100.08,100.08,2012-12-01,88.33,2013-01-01,Stop Loss,1,-11.74,-77.65,-11.74,131.41,2013-01-01,15.65,88.33,,88.33
54,JBCHEPHARM,01-11-2012,Largecap,Healthcare,Completed,36.89,36.89,2012-12-01,34.19,2013-01-01,Stop Loss,1,-7.32,-59.81,-7.32,39.12,2012-12-01,8.69,34.19,33.13,33.13
55,RUCHINFRA,01-11-2012,Smallcap,Miscellaneous,No Entry,26.53,,,,,No Entry,0,0.0,0.0,0.0,,,0.0,,,
56,JAYSREETEA,01-11-2012,Smallcap,FMCG,Completed,110.19,110.19,2013-01-01,86.69,2013-02-01,Stop Loss,1,-21.32,-94.38,-21.32,113.93,2013-01-01,21.73,86.69,86.69,86.69
57,GAEL,01-11-2012,Smallcap,FMCG,Completed,6.41,6.41,2012-12-01,5.59,2013-02-01,Stop Loss,2,-12.72,-55.8,-6.58,7.04,2013-02-01,19.43,5.59,,5.59
58,63MOONS,01-11-2012,Smallcap,I.T,No Entry,891.35,,,,,No Entry,0,0.0,0.0,0.0,,,0.0,,,
59,IOC,01-11-2012,Largecap,Energy,Completed,24.66,24.66,2013-01-01,23.54,2013-03-01,Stop Loss,2,-4.54,-24.34,-2.3,31.26,2013-01-01,10.27,23.54,25.03,19.62
60,VAIBHAVGBL,01-11-2012,Smallcap,Consumer Discretionary,Completed,21.62,21.62,2012-12-01,19.13,2013-02-01,Stop Loss,2,-11.52,-52.02,-5.94,26.19,2013-01-01,38.24,19.13,,103.83
61,KOTHARIPET,01-11-2012,Smallcap,Energy,Completed,6.18,6.18,2013-11-01,6.01,2014-02-01,Stop Loss,3,-2.85,-10.93,-0.96,7.95,2013-12-01,13.71,6.01,6.01,
62,IDBI,03-12-2012,Largecap,Bank,Completed,99.65,99.65,2013-01-01,76.14,2013-02-01,Stop Loss,1,-23.59,-96.04,-23.59,102.5,2013-01-01,24.93,76.14,,76.14
63,VEDL,03-12-2012,Largecap,Metals & Mining,Completed,63.6,63.6,2013-01-01,48.85,2013-02-01,Stop Loss,1,-23.19,-95.78,-23.19,64.82,2013-01-01,23.98,48.85,,48.85
64,JINDALSAW,03-12-2012,Midcap,Industrials,No Entry,53.84,,,,,No Entry,0,0.0,0.0,0.0,,,0.0,,,
65,TATAINVEST,03-12-2012,Largecap,Financials,Completed,367.62,367.62,2014-03-01,439.89,2015-01-01,Target 1 - Red Doji,10,19.66,24.03,1.81,478.75,2014-11-01,14.15,,439.89,
66,INDIANCARD,03-12-2012,Smallcap,Textiles,Completed,90.84,90.84,2014-06-01,81.48,2014-11-01,Stop Loss,5,-10.3,-22.96,-2.15,129.7,2014-07-01,27.74,81.48,,75.8
67,SUBROS,03-12-2012,Midcap,Auto,Completed,29.76,29.76,2014-05-01,58.99,2015-02-01,Target 1 - Red Doji,9,98.19,148.95,7.9,77.79,2014-11-01,16.01,,58.99,
68,BANKINDIA,03-12-2012,Largecap,Bank,Completed,280.79,280.79,2013-01-01,256.92,2013-02-01,Stop Loss,1,-8.5,-65.57,-8.5,317.51,2013-01-01,10.2,256.92,,244.68
69,ARCHIES,03-12-2012,Smallcap,Consumer Discretionary,Completed,29.46,29.46,2014-09-01,28.75,2014-12-01,Stop Loss,3,-2.42,-9.35,-0.81,36.15,2014-12-01,37.13,28.75,,18.77
70,JINDALSTEL,03-12-2012,Largecap,Metals & Mining,Completed,462.82,462.82,2013-01-01,340.03,2013-02-01,Stop Loss,1,-26.53,-97.53,-26.53,462.92,2013-01-01,28.64,340.03,,340.03
71,TVSMOTOR,03-12-2012,Largecap,Auto,Completed,39.12,39.12,2013-01-01,34.19,2013-02-01,Stop Loss,1,-12.61,-80.17,-12.61,44.63,2013-01-01,20.23,34.19,34.19,34.19
72,TCI,03-12-2012,Midcap,Transportation,Completed,38.64,38.64,2013-12-01,111.16,2015-09-01,Target 1 - Red Doji,21,187.71,82.92,5.16,147.97,2015-08-01,33.07,,111.16,
73,VISESHINFO,03-12-2012,Smallcap,I.T,Completed,2.69,2.69,2013-01-01,1.77,2013-02-01,Stop Loss,1,-34.12,-99.33,-34.12,3.68,2013-01-01,34.12,1.77,,1.77
74,LIQUIDBEES,03-12-2012,Smallcap,Indices,Completed,0.0,,2013-06-01,731.25,2015-11-01,End of Data,29,0.0,0.0,0.0,731.26,2015-11-01,-inf,,,
75,HINDPETRO,01-01-2013,Largecap,Energy,Completed,31.81,31.81,2014-05-01,71.85,2015-10-01,Target 1 - Red Doji,17,125.88,77.74,4.91,89.86,2015-08-01,11.72,,71.85,
76,FINPIPE,01-01-2013,Midcap,Plastic products,Completed,12.58,12.58,2013-02-01,17.98,2013-09-01,Target 1 - Red Doji,7,42.94,84.49,5.24,22.03,2013-06-01,7.56,,17.98,
77,DYNAMATECH,01-01-2013,Smallcap,Industrials,Completed,952.8,952.8,2014-03-01,819.67,2014-04-01,Stop Loss,1,-13.97,-83.57,-13.97,954.94,2014-03-01,48.59,819.67,1951.75,
78,UPL,01-01-2013,Largecap,Chemicals,Completed,83.8,83.8,2013-05-01,78.89,2013-06-01,Stop Loss,1,-5.86,-51.55,-5.86,97.34,2013-06-01,12.34,78.89,,74.01
79,WELSPUNLIV,01-01-2013,Midcap,Textiles,Completed,7.08,7.08,2014-01-01,84.34,2015-12-01,End of Data,23,1091.8,264.33,11.38,88.22,2015-08-01,6.42,,,
80,IOC,01-01-2013,Largecap,Energy,Completed,31.26,31.26,2014-05-01,29.68,2014-06-01,Stop Loss,1,-5.07,-46.46,-5.07,33.16,2014-06-01,27.43,29.68,31.47,
81,PTC,01-01-2013,Smallcap,Power & Utilities,Completed,40.63,40.63,2014-05-01,45.44,2014-08-01,Target 1 - Red Doji,3,11.83,56.4,3.8,54.4,2014-06-01,15.81,38.56,45.44,38.56
82,JETAIRWAYS,01-01-2013,Smallcap,Transportation,Completed,647.8,647.8,2013-04-01,491.75,2013-05-01,Stop Loss,1,-24.09,-96.34,-24.09,687.0,2013-04-01,27.76,491.75,491.75,491.75
83,LIQUIDBEES,01-02-2013,Smallcap,Indices,Completed,0.0,,2013-06-01,736.84,2016-01-01,End of Data,31,0.0,0.0,0.0,736.84,2016-01-01,-inf,,,
84,RUCHINFRA,01-04-2013,Smallcap,Miscellaneous,No Entry,25.89,,,,,No Entry,0,0.0,0.0,0.0,,,0.0,,,
85,JETAIRWAYS,01-04-2013,Smallcap,Transportation,Completed,687.0,687.0,2015-12-01,602.6,2016-01-01,Stop Loss,1,-12.29,-79.26,-12.29,796.4,2016-01-01,26.29,602.6,,
86,CESC,02-05-2013,Largecap,Power & Utilities,Completed,20.59,20.59,2013-06-01,19.4,2013-07-01,Stop Loss,1,-5.81,-51.23,-5.81,22.16,2013-07-01,8.74,19.4,19.01,34.32
87,UPL,02-05-2013,Largecap,Chemicals,Completed,93.54,93.54,2013-06-01,74.01,2013-07-01,Stop Loss,1,-20.88,-93.98,-20.88,97.34,2013-06-01,21.71,74.01,,74.01
88,NRBBEARING,02-05-2013,Smallcap,Industrials,Completed,33.63,33.63,2014-01-01,91.98,2016-02-01,Target 2 - Below 21 EMA,25,173.54,62.09,4.11,140.73,2015-11-01,16.45,,,91.98
89,BEL,03-06-2013,Largecap,Aerospace & Defence,Completed,11.21,11.21,2014-05-01,25.82,2015-04-01,Target 1 - Red Doji,11,130.38,148.54,7.88,34.69,2015-02-01,11.85,,25.82,26.01
90,ORIENTCER,03-06-2013,Smallcap,Building Materials,No Data,,,,,,No Data,0,0.0,0.0,0.0,,,0.0,,,
91,ICIL,03-06-2013,Midcap,Textiles,Completed,3.19,3.19,2013-07-01,152.5,2016-02-01,Target 1 - Red Doji,31,4676.43,346.66,13.28,229.04,2016-02-01,24.57,,152.5,
92,EXCELINDUS,01-07-2013,Smallcap,Chemicals,Completed,56.57,56.57,2013-08-01,47.39,2013-09-01,Stop Loss,1,-16.22,-88.04,-16.22,57.3,2013-08-01,16.22,47.39,,47.39
93,TCIFINANCE,01-07-2013,Smallcap,Financials,Completed,37.0,37.0,2014-09-01,33.15,2014-10-01,Stop Loss,1,-10.41,-73.25,-10.41,38.15,2014-09-01,37.43,33.15,37.9,29.85
94,MARKSANS,01-07-2013,Midcap,Healthcare,Completed,10.99,10.99,2013-11-01,62.37,2016-01-01,Target 2 - Below 21 EMA,26,467.72,122.88,6.91,111.48,2015-08-01,20.7,,,62.37
95,LIQUIDBEES,01-07-2013,Smallcap,Indices,Completed,645.08,645.08,2013-08-01,750.12,2016-06-01,End of Data,34,16.28,5.47,0.44,758.43,2016-04-01,-0.44,,,
96,ALEMBICLTD,01-08-2013,Smallcap,Realty,Completed,10.84,10.84,2013-09-01,10.49,2014-01-01,Stop Loss,4,-3.2,-9.31,-0.81,15.17,2013-11-01,8.9,10.49,,10.49
97,DICIND,02-09-2013,Smallcap,Chemicals,Completed,229.24,229.24,2013-11-01,363.23,2014-11-01,Target 2 - Below 21 EMA,12,58.45,58.45,3.91,588.16,2014-10-01,19.03,,,363.23
98,VEDL,02-09-2013,Largecap,Metals & Mining,Completed,61.88,61.88,2013-10-01,57.8,2013-11-01,Stop Loss,1,-6.58,-55.82,-6.58,66.11,2013-11-01,12.07,57.8,,56.5
99,THOMASCOOK,02-09-2013,Midcap,Miscellaneous,Completed,21.54,21.54,2013-10-01,78.7,2015-07-01,Target 1 - Red Doji,21,265.32,109.67,6.36,89.69,2015-06-01,11.5,,78.7,64.28
100,ONWARDTEC,02-09-2013,Smallcap,I.T,Completed,40.33,40.33,2013-10-01,41.98,2014-01-01,Target 1 - Red Doji,3,4.09,17.37,1.34,60.41,2013-11-01,10.54,,41.98,40.33
101,RADICO,02-09-2013,Largecap,FMCG,Completed,126.64,126.64,2013-10-01,137.89,2014-03-01,Target 1 - Red Doji,5,8.89,22.67,1.72,162.65,2014-01-01,3.86,99.97,137.89,99.97
102,ENIL,02-09-2013,Smallcap,Media,Completed,287.92,287.92,2013-10-01,406.81,2014-09-01,Target 1 - Red Doji,11,41.29,45.8,3.19,458.49,2014-03-01,11.17,,406.81,603.58
103,AEGISLOG,01-10-2013,Largecap,Services,No Data,,,,,,No Data,0,0.0,0.0,0.0,,,0.0,,,
104,JSWSTEEL,01-10-2013,Largecap,Metals & Mining,Completed,76.99,76.99,2013-11-01,111.96,2014-10-01,Target 1 - Red Doji,11,45.42,50.46,3.46,121.16,2014-09-01,8.21,,111.96,92.9
105,KAKATCEM,01-10-2013,Smallcap,Building Materials,Completed,73.45,73.45,2014-04-01,89.83,2014-08-01,Target 1 - Red Doji,4,22.31,82.97,5.16,121.88,2014-06-01,17.71,,89.83,87.07
106,TATAELXSI,01-10-2013,Largecap,I.T,Completed,100.77,100.77,2013-11-01,221.83,2014-05-01,Target 1 - Red Doji,6,120.14,384.61,14.06,290.81,2014-03-01,6.22,,221.83,631.78
107,THOMASCOOK,01-10-2013,Midcap,Miscellaneous,Completed,28.3,28.3,2013-11-01,27.4,2014-01-01,Stop Loss,2,-3.18,-17.64,-1.6,31.69,2013-12-01,16.16,27.4,78.7,66.41
108,FEDERALBNK,01-10-2013,Largecap,Bank,Completed,37.72,37.72,2013-11-01,35.17,2014-01-01,Stop Loss,2,-6.76,-34.31,-3.44,39.76,2014-01-01,13.76,35.17,59.5,56.19
109,BHARATFORG,01-10-2013,Largecap,Industrials,Completed,139.45,139.45,2013-11-01,420.76,2015-09-01,Target 2 - Below 21 EMA,22,201.73,82.64,5.15,629.41,2015-04-01,8.28,,,420.76
110,LT,01-10-2013,Largecap,Realty,Completed,550.63,550.63,2013-11-01,843.65,2014-12-01,Target 1 - Red Doji,13,53.22,48.27,3.34,993.2,2014-06-01,7.4,,843.65,827.62
111,DEEPAKFERT,01-10-2013,Midcap,Chemicals,Completed,92.72,92.72,2014-02-01,90.5,2014-03-01,Stop Loss,1,-2.4,-25.28,-2.4,93.7,2014-02-01,15.01,90.5,,103.25
112,GSFC,01-10-2013,Midcap,Chemicals,Completed,44.57,44.57,2013-11-01,39.91,2013-12-01,Stop Loss,1,-10.45,-73.4,-10.45,46.57,2013-11-01,12.85,39.91,,39.91
113,GABRIEL,01-10-2013,Midcap,Auto,Completed,18.62,18.62,2013-11-01,17.77,2014-01-01,Stop Loss,2,-4.59,-24.56,-2.32,23.18,2013-12-01,6.48,17.77,,17.77
114,GMBREW,01-10-2013,Smallcap,FMCG,Completed,35.6,35.6,2013-11-01,32.2,2014-01-01,Stop Loss,2,-9.55,-45.24,-4.89,41.98,2014-01-01,16.43,32.2,,45.75
115,WELSPUNLIV,01-10-2013,Midcap,Textiles,Completed,6.15,6.15,2013-11-01,75.0,2016-02-01,Target 1 - Red Doji,27,1118.71,203.82,9.7,88.22,2015-08-01,7.95,,75.0,45.04
116,MARALOVER,01-10-2013,Smallcap,Textiles,Completed,19.87,19.87,2013-11-01,18.17,2013-12-01,Stop Loss,1,-8.54,-65.73,-8.54,21.23,2013-11-01,18.29,18.17,,15.94
117,GAEL,01-10-2013,Smallcap,FMCG,Completed,6.32,6.32,2013-11-01,12.45,2014-11-01,Target 1 - Red Doji,12,97.01,97.01,5.81,16.04,2014-09-01,5.8,,12.45,9.65
118,TNPL,01-10-2013,Smallcap,Building Materials,Completed,77.23,77.23,2013-11-01,111.05,2014-09-01,Target 1 - Red Doji,10,43.79,54.62,3.7,130.43,2014-06-01,2.75,,111.05,100.82
119,BANKBARODA,01-10-2013,Largecap,Bank,Completed,108.61,108.61,2013-11-01,91.63,2014-01-01,Stop Loss,2,-15.63,-63.93,-8.15,119.79,2013-12-01,19.23,91.63,,91.63
120,GAIL,01-10-2013,Largecap,Energy,Completed,45.26,45.26,2014-01-01,52.68,2015-02-01,Target 2 - Below 21 EMA,13,16.4,15.05,1.17,71.49,2014-10-01,7.37,,,52.68
121,TVSMOTOR,01-10-2013,Largecap,Auto,Completed,48.27,48.27,2013-11-01,247.47,2015-03-01,Target 1 - Red Doji,16,412.64,240.69,10.76,301.47,2015-01-01,10.21,,247.47,
122,UCOBANK,01-10-2013,Largecap,Bank,Completed,66.78,66.78,2013-11-01,60.43,2014-01-01,Stop Loss,2,-9.52,-45.13,-4.88,75.93,2013-12-01,12.26,60.43,60.43,60.43
123,GALLANTT,01-10-2013,Midcap,Metals & Mining,Completed,26.85,26.85,2014-11-01,23.41,2014-12-01,Stop Loss,1,-12.82,-80.73,-12.82,29.6,2014-11-01,22.89,23.41,23.41,
124,GUJGASLTD,01-10-2013,Largecap,Energy,Completed,126.22,126.22,2016-01-01,90.06,2016-02-01,Stop Loss,1,-28.65,-98.26,-28.65,126.72,2016-01-01,29.12,90.06,,90.06
125,ESABINDIA,01-11-2013,Midcap,Industrials,Completed,384.97,384.97,2014-02-01,352.3,2014-03-01,Stop Loss,1,-8.49,-65.5,-8.49,389.62,2014-02-01,15.34,352.3,524.74,488.18
126,EPL,01-11-2013,Midcap,Industrials,Completed,21.51,21.51,2013-12-01,21.06,2014-01-01,Stop Loss,1,-2.12,-22.63,-2.12,23.48,2014-01-01,11.54,21.06,52.3,
127,TATAELXSI,01-11-2013,Largecap,I.T,Completed,133.65,133.65,2013-12-01,221.83,2014-05-01,Target 1 - Red Doji,5,65.98,237.4,10.67,290.81,2014-03-01,5.96,,221.83,631.78
128,ESCORTS,01-11-2013,Largecap,Auto,Completed,118.95,118.95,2013-12-01,108.91,2014-02-01,Stop Loss,2,-8.44,-41.08,-4.31,137.51,2013-12-01,15.49,108.91,108.91,112.7
129,SIEMENS,01-11-2013,Largecap,Industrials,Completed,318.96,318.96,2013-12-01,281.05,2014-01-01,Stop Loss,1,-11.88,-78.09,-11.88,347.59,2013-12-01,18.12,281.05,,281.05
130,TCIFINANCE,01-11-2013,Smallcap,Financials,Completed,36.35,36.35,2014-09-01,33.15,2014-10-01,Stop Loss,1,-8.8,-66.91,-8.8,38.15,2014-09-01,36.31,33.15,37.9,29.85
131,GREAVESCOT,01-11-2013,Midcap,Industrials,Completed,52.59,52.59,2013-12-01,49.25,2014-01-01,Stop Loss,1,-6.36,-54.57,-6.36,55.62,2014-01-01,8.71,49.25,,49.25
132,ORIENTPPR,01-11-2013,Smallcap,Building Materials,Completed,3.41,3.41,2013-12-01,7.91,2014-08-01,Target 1 - Red Doji,8,131.93,253.2,11.09,10.05,2014-06-01,15.98,,7.91,6.03
